GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2/3/2020,21900744,Final,1610612764,1610612744,2019,117,0.506,0.828,0.409,28,35,125,0.494,0.774,0.5,31,44
2/3/2020,21900745,Final,1610612737,1610612738,2019,115,0.5,0.905,0.4,22,32,123,0.533,0.882,0.414,21,44
2/3/2020,21900746,Final,1610612751,1610612756,2019,119,0.483,0.857,0.441,28,44,97,0.433,0.722,0.353,23,43
2/3/2020,21900747,Final,1610612748,1610612755,2019,137,0.565,0.833,0.5,27,35,106,0.434,0.84,0.342,24,44
2/3/2020,21900748,Final,1610612763,1610612765,2019,96,0.467,0.833,0.118,27,47,82,0.347,0.667,0.308,21,51
2/3/2020,21900749,Final,1610612758,1610612750,2019,113,0.507,0.742,0.519,26,34,109,0.435,0.786,0.342,25,45
2/3/2020,21900750,Final,1610612746,1610612759,2019,108,0.464,0.792,0.407,28,51,105,0.421,0.813,0.324,21,46
2/4/2020,21900751,Final,1610612740,1610612749,2019,108,0.384,0.75,0.286,26,49,120,0.471,0.765,0.306,34,53
2/4/2020,21900752,Final,1610612745,1610612766,2019,125,0.443,0.826,0.333,25,41,110,0.47,0.792,0.394,22,53
2/4/2020,21900753,Final,1610612743,1610612757,2019,127,0.511,0.72,0.5,30,50,99,0.396,0.818,0.29,16,36
2/4/2020,21900754,Final,1610612747,1610612759,2019,129,0.588,0.68,0.429,28,58,102,0.44,0.6,0.481,21,28
2/5/2020,21900755,Final,1610612765,1610612756,2019,116,0.484,0.75,0.429,31,42,108,0.545,0.8,0.462,29,37
2/5/2020,21900756,Final,1610612738,1610612753,2019,116,0.535,0.688,0.565,23,41,100,0.427,0.767,0.419,20,39
2/5/2020,21900757,Final,1610612751,1610612744,2019,129,0.51,0.867,0.412,29,65,88,0.365,0.722,0.128,20,34
2/5/2020,21900758,Final,1610612761,1610612754,2019,119,0.5,0.875,0.375,27,37,118,0.524,0.813,0.487,29,42
2/5/2020,21900759,Final,1610612750,1610612737,2019,120,0.495,0.75,0.257,18,33,127,0.524,0.933,0.406,23,44
2/5/2020,21900760,Final,1610612760,1610612739,2019,109,0.469,0.8,0.346,21,40,103,0.461,0.545,0.395,31,45
2/5/2020,21900761,Final,1610612742,1610612763,2019,107,0.362,0.917,0.395,19,42,121,0.528,0.75,0.48,27,52
2/5/2020,21900762,Final,1610612762,1610612743,2019,95,0.419,0.643,0.359,20,46,98,0.433,0.722,0.233,23,52
2/5/2020,21900763,Final,1610612746,1610612748,2019,128,0.506,0.737,0.444,35,51,111,0.43,0.714,0.381,29,46
2/6/2020,21900764,Final,1610612752,1610612753,2019,105,0.467,0.684,0.3,27,39,103,0.453,0.867,0.29,22,39
2/6/2020,21900765,Final,1610612741,1610612740,2019,119,0.495,0.609,0.448,25,40,125,0.563,0.579,0.421,38,45
2/6/2020,21900766,Final,1610612749,1610612755,2019,112,0.468,0.667,0.324,19,60,101,0.374,0.571,0.422,24,50
2/6/2020,21900767,Final,1610612757,1610612759,2019,125,0.533,0.75,0.486,28,50,117,0.446,0.893,0.357,25,39
2/6/2020,21900768,Final,1610612747,1610612745,2019,111,0.495,0.75,0.29,33,38,121,0.506,0.889,0.452,20,37
2/7/2020,21900769,Final,1610612755,1610612763,2019,119,0.533,0.6,0.56,34,50,107,0.409,0.839,0.238,25,40
2/7/2020,21900770,Final,1610612764,1610612742,2019,119,0.5,0.769,0.5,28,39,118,0.462,0.857,0.4,27,49
2/7/2020,21900771,Final,1610612738,1610612737,2019,112,0.43,0.815,0.432,23,47,107,0.407,0.923,0.333,21,46
2/7/2020,21900772,Final,1610612754,1610612761,2019,106,0.453,0.818,0.294,26,47,115,0.477,0.824,0.447,28,39
2/7/2020,21900773,Final,1610612760,1610612765,2019,108,0.513,0.833,0.217,21,42,101,0.427,0.737,0.289,19,37
2/7/2020,21900774,Final,1610612756,1610612745,2019,127,0.558,0.963,0.484,29,51,91,0.341,0.846,0.229,16,29
2/7/2020,21900775,Final,1610612758,1610612748,2019,105,0.488,0.5,0.432,29,36,97,0.442,0.68,0.3,21,42
2/7/2020,21900776,Final,1610612762,1610612757,2019,117,0.495,0.708,0.333,21,56,114,0.454,0.643,0.425,14,43
2/8/2020,21900777,Final,1610612753,1610612749,2019,95,0.378,0.786,0.25,28,46,111,0.452,0.75,0.385,26,62
2/8/2020,21900778,Final,1610612766,1610612742,2019,100,0.437,0.722,0.306,15,39,116,0.506,1,0.486,29,46
2/8/2020,21900779,Final,1610612765,1610612752,2019,92,0.493,0.688,0.448,21,28,95,0.447,0.647,0.364,24,47
2/8/2020,21900780,Final,1610612754,1610612740,2019,117,0.53,0.741,0.346,25,37,124,0.463,0.84,0.395,27,53
2/8/2020,21900781,Final,1610612761,1610612751,2019,119,0.474,0.714,0.4,22,48,118,0.446,0.833,0.364,27,46
